a,b,c
30.891,2.3302,7.1371
30.911,2.3333,7.1471
30.925,2.3512,7.1572
30.894,2.3077,7.1672
30.899,2.2908,7.1772
30.907,2.3089,7.1872
30.913,2.2832,7.1972
30.906,2.2784,7.2072
30.919,2.2891,7.2172
30.948,2.3256,7.2272
30.918,2.289,7.2372
30.938,2.3135,7.2472
30.912,2.2983,7.2573
30.931,2.2987,7.2673
30.921,2.2927,7.2773
30.936,2.31,7.2873
30.898,2.2543,7.2973
30.878,2.2388,7.3073
30.955,2.3126,7.3173
30.934,2.3036,7.3273
30.918,2.3127,7.3373
30.871,2.2466,7.3473
30.875,2.2582,7.3574
30.819,2.2199,7.3674
30.807,2.1965,7.3774
30.867,2.2605,7.3874
30.865,2.2503,7.3974
30.874,2.2879,7.4074
30.851,2.2672,7.4174
30.861,2.2751,7.4274
30.838,2.2668,7.4374
30.911,2.3345,7.4474
30.877,2.2851,7.4575
30.865,2.2885,7.4675
30.865,2.297,7.4775
30.873,2.3297,7.4875
30.873,2.3148,7.4975
30.882,2.3078,7.5075
30.914,2.3317,7.5175
30.898,2.3174,7.5275
30.97,2.405,7.5375
30.928,2.3611,7.5475
30.931,2.3625,7.5576
30.94,2.3672,7.5676
30.947,2.373,7.5776
30.952,2.3928,7.5876
30.958,2.386,7.5976
30.981,2.4106,7.6076
31.025,2.4332,7.6176
30.992,2.4181,7.6276
31.001,2.42,7.6376
31.029,2.4243,7.6476
31.035,2.4099,7.6577
31.023,2.4083,7.6677
31.047,2.443,7.6777
30.988,2.3828,7.6877
30.972,2.3548,7.6977
31.01,2.411,7.7077
30.977,2.3688,7.7177
30.986,2.3736,7.7277
30.968,2.3766,7.7377
30.99,2.4004,7.7477
30.983,2.4006,7.7578
30.95,2.3629,7.7678
30.902,2.3187,7.7778
30.918,2.334,7.7878
30.97,2.4001,7.7978
30.951,2.3993,7.8078
30.929,2.375,7.8178
30.884,2.304,7.8278
30.959,2.3879,7.8378
30.913,2.3472,7.8478
30.904,2.3444,7.8579
30.893,2.3374,7.8679
30.873,2.3011,7.8779
30.85,2.2899,7.8879
30.869,2.2957,7.8979
30.867,2.3357,7.9079
30.859,2.3188,7.9179
30.865,2.3074,7.9279
30.895,2.3411,7.9379
30.884,2.3299,7.9479
30.877,2.3114,7.958
30.865,2.2808,7.968
30.875,2.302,7.978
30.888,2.2818,7.988
30.882,2.2934,7.998
30.899,2.2974,8.008
30.942,2.3565,8.018
30.962,2.3514,8.028
30.938,2.3296,8.038
30.935,2.3144,8.048
30.925,2.306,8.0581
30.932,2.3196,8.0681
30.973,2.3528,8.0781
30.959,2.3279,8.0881
30.971,2.3158,8.0981
30.962,2.3003,8.1081
31.001,2.3749,8.1181
30.981,2.3421,8.1281
30.942,2.3038,8.1381
30.952,2.3016,8.1481
30.956,2.2844,8.1582
30.95,2.28,8.1682
30.956,2.2746,8.1782
30.942,2.2822,8.1882
30.953,2.2967,8.1982
30.976,2.3238,8.2082
30.914,2.2566,8.2182
30.874,2.2558,8.2282
30.904,2.2637,8.2382
30.9,2.2734,8.2482
30.893,2.2789,8.2583
30.891,2.2832,8.2683
30.851,2.2314,8.2783
30.857,2.2296,8.2883
30.875,2.2659,8.2983
30.87,2.2625,8.3083
30.837,2.229,8.3183
30.846,2.2532,8.3283
30.831,2.2184,8.3383
30.829,2.2246,8.3483
30.824,2.226,8.3584
30.801,2.2006,8.3684
30.812,2.215,8.3784
30.809,2.2343,8.3884
30.808,2.2216,8.3984
30.809,2.2076,8.4084
30.803,2.2015,8.4184
30.833,2.2307,8.4284
30.864,2.2766,8.4384
30.858,2.2411,8.4484
30.836,2.1834,8.4585
30.858,2.2153,8.4685
30.868,2.232,8.4785
30.854,2.2149,8.4885
30.871,2.2217,8.4985
30.871,2.2123,8.5085
30.904,2.2631,8.5185
30.919,2.2866,8.5285
30.936,2.3076,8.5385
30.941,2.2754,8.5485
30.95,2.2683,8.5586
30.96,2.2909,8.5686
30.973,2.3147,8.5786
30.942,2.2783,8.5886
30.898,2.2116,8.5986
30.93,2.2706,8.6086
30.907,2.255,8.6186
30.9,2.2805,8.6286
30.905,2.2759,8.6386
30.921,2.2998,8.6486
30.916,2.2939,8.6587
30.874,2.2638,8.6687
30.842,2.2384,8.6787
30.831,2.2314,8.6887
30.84,2.2483,8.6987
30.82,2.226,8.7087
30.809,2.1989,8.7187
30.789,2.174,8.7287
30.786,2.1901,8.7387
30.781,2.1929,8.7487
30.776,2.1917,8.7588
30.752,2.1662,8.7688
30.785,2.2019,8.7788
30.75,2.1785,8.7888
30.739,2.1567,8.7988
30.737,2.1636,8.8088
30.757,2.1822,8.8188
30.773,2.1845,8.8288
30.789,2.1897,8.8388
30.793,2.1846,8.8488
30.782,2.1764,8.8589
30.765,2.1719,8.8689
30.768,2.2015,8.8789
30.808,2.2121,8.8889
30.778,2.1618,8.8989
30.786,2.1705,8.9089
30.812,2.2039,8.9189
30.825,2.1886,8.9289
30.819,2.1864,8.9389
30.827,2.1943,8.9489
30.855,2.2216,8.959
30.899,2.249,8.969
30.9,2.2455,8.979
30.9,2.2624,8.989
30.932,2.2852,8.999
30.934,2.3016,9.009
30.928,2.2812,9.019
30.952,2.2889,9.029
30.956,2.292,9.039
30.929,2.2555,9.049
30.976,2.3179,9.0591
31.016,2.3488,9.0691
30.992,2.317,9.0791
30.998,2.3109,9.0891
31.02,2.3499,9.0991
31.013,2.3451,9.1091
30.981,2.3489,9.1191
30.984,2.3297,9.1291
30.971,2.3461,9.1391
30.975,2.3233,9.1491
30.987,2.3402,9.1592
30.99,2.3653,9.1692
