a,b,c
31.228,3.8686,8.26
31.216,3.8524,8.27
31.19,3.8569,8.28
31.18,3.8636,8.29
31.202,3.8781,8.3
31.197,3.8648,8.31
31.217,3.8774,8.32
31.187,3.8696,8.33
31.231,3.8541,8.34
31.233,3.8387,8.35
31.237,3.8402,8.36
31.305,3.8806,8.37
31.306,3.865,8.38
31.369,3.8912,8.39
31.389,3.8738,8.4
31.536,3.9866,8.41
31.486,3.8952,8.42
31.6,3.9953,8.43
31.668,4.033,8.44
31.689,4.013,8.45
31.76,4.0177,8.46
31.795,4.0317,8.47
31.827,4.0445,8.48
31.85,4.0655,8.49
31.855,4.0463,8.5
31.953,4.1367,8.51
31.931,4.1063,8.52
31.9,4.0765,8.53
31.913,4.0668,8.54
31.93,4.0909,8.55
31.884,4.039,8.56
31.931,4.083,8.57
31.919,4.0922,8.58
31.857,4.0688,8.59
31.843,4.0573,8.6
31.82,4.0497,8.61
31.773,4.0524,8.62
31.758,4.0622,8.63
31.74,4.0929,8.64
31.657,4.0879,8.65
31.665,4.1376,8.66
31.587,4.1141,8.67
31.561,4.1094,8.68
31.552,4.1234,8.69
31.571,4.1858,8.7
31.484,4.1522,8.71
31.413,4.1303,8.72
31.383,4.1131,8.73
31.363,4.157,8.74
31.39,4.1795,8.75
31.371,4.1665,8.76
31.305,4.1394,8.77
31.374,4.2077,8.78
31.356,4.1593,8.79
31.383,4.1845,8.8
31.44,4.2225,8.81
31.51,4.2666,8.82
31.495,4.2594,8.83
31.503,4.2278,8.84
31.479,4.1741,8.85
31.585,4.2461,8.86
31.643,4.2348,8.87
31.663,4.2248,8.88
31.727,4.2177,8.89
31.812,4.2937,8.9
31.895,4.3064,8.91
31.898,4.3008,8.92
31.983,4.3384,8.93
31.982,4.2791,8.94
32.019,4.2748,8.95
31.997,4.2464,8.96
32.056,4.2859,8.97
32.077,4.2867,8.98
32.081,4.2777,8.99
32.07,4.2803,9
32.001,4.2102,9.01
32.07,4.2556,9.02
31.984,4.1785,9.03
32.106,4.2734,9.04
32.071,4.2602,9.05
32.064,4.2525,9.06
32.097,4.3159,9.07
32.029,4.2586,9.08
32.01,4.2738,9.09
32.017,4.3099,9.1
31.92,4.2605,9.11
31.883,4.2594,9.12
31.873,4.2489,9.13
31.705,4.1792,9.14
31.596,4.1342,9.15
31.659,4.2184,9.16
31.532,4.1427,9.17
31.479,4.1406,9.18
31.486,4.2052,9.19
31.451,4.1919,9.2
31.396,4.1866,9.21
31.424,4.2429,9.22
31.417,4.2547,9.23
31.357,4.2216,9.24
31.394,4.2526,9.25
31.428,4.2996,9.26
31.392,4.2804,9.27
31.373,4.2359,9.28
31.446,4.2846,9.29
31.477,4.2832,9.3
31.508,4.2961,9.31
31.578,4.3366,9.32
31.629,4.311,9.33
31.632,4.2803,9.34
31.699,4.3121,9.35
31.773,4.3383,9.36
31.801,4.3116,9.37
31.845,4.3159,9.38
31.894,4.2991,9.39
31.972,4.3452,9.4
32.043,4.3704,9.41
32.014,4.3222,9.42
32.036,4.285,9.43
32.137,4.3472,9.44
32.04,4.2832,9.45
32.097,4.3137,9.46
32.12,4.3007,9.47
32.194,4.3422,9.48
32.217,4.3656,9.49
32.341,4.435,9.5
32.325,4.436,9.51
32.356,4.4913,9.52
32.418,4.5306,9.53
32.385,4.5268,9.54
32.353,4.5578,9.55
32.256,4.5084,9.56
32.25,4.5133,9.57
32.215,4.5237,9.58
32.175,4.525,9.59
32.198,4.5454,9.6
32.211,4.5905,9.61
32.093,4.5315,9.62
32.064,4.5686,9.63
32.023,4.5604,9.64
31.926,4.5207,9.65
31.958,4.5974,9.66
31.854,4.5683,9.67
31.784,4.5222,9.68
31.807,4.5901,9.69
31.731,4.5543,9.7
31.747,4.5822,9.71
31.773,4.5922,9.72
31.809,4.6449,9.73
31.744,4.5839,9.74
31.728,4.5581,9.75
31.798,4.629,9.76
31.737,4.552,9.77
31.729,4.5246,9.78
31.713,4.4962,9.79
31.714,4.4668,9.8
31.694,4.4135,9.81
31.728,4.4259,9.82
31.754,4.3876,9.83
31.759,4.3823,9.84
31.853,4.4182,9.85
31.867,4.3938,9.86
31.912,4.4029,9.87
31.946,4.4175,9.88
31.919,4.3708,9.89
31.965,4.3847,9.9
32.034,4.4187,9.91
31.984,4.3567,9.92
31.98,4.3426,9.93
32.041,4.3243,9.94
32.065,4.3372,9.95
32.145,4.374,9.96
32.084,4.316,9.97
32.082,4.2975,9.98
32.06,4.2845,9.99
32.102,4.3185,10
